Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,56100,1,200,0.36,55800,56300,55500,15908823,890639761200,334904801055000,5969782550,STK
000660,KR7000660001,SK하이닉스,KOSPI,,175500,2,-600,-0.34,174400,176400,173500,3677980,643515029446,127764415057500,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,400000,2,-4500,-1.11,396000,400000,389500,330114,130126551500,93600000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,986000,1,28000,2.92,959000,995000,950000,76812,75296734000,70177564000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,215000,1,3500,1.65,212000,216000,209000,528172,112602320500,45024481065000,209416191,STK
068270,KR7068270008,셀트리온,KOSPI,,193400,1,8500,4.6,185600,196100,185600,1057016,203671404300,41982992343600,217078554,STK
000270,KR7000270009,기아,KOSPI,,98100,1,900,0.93,97500,98600,96100,784619,76530998500,39011685199200,397672632,STK
005935,KR7005931001,삼성전자우,KOSPI,,46600,3,0,0.0,46800,47250,46450,1289600,60327009286,38346520220000,822886700,STK
105560,KR7105560007,KB금융,KOSPI,,85000,2,-2000,-2.3,86100,87000,85000,1694440,145464020400,33449915955000,393528423,STK
035420,KR7035420009,NAVER,KOSPI,,210000,1,2000,0.96,209000,212000,205000,1102386,230958319000,33271771680000,158437008,STK
010130,KR7010130003,고려아연,KOSPI,,1225000,2,-136000,-9.99,1345000,1372000,1222000,86832,111514261000,25361521675000,20703283,STK
055550,KR7055550008,신한지주,KOSPI,,49500,2,-1100,-2.17,50400,50700,49300,2268368,113016485500,24920543587500,503445325,STK
012330,KR7012330007,현대모비스,KOSPI,,244000,2,-2500,-1.01,247500,249500,242000,266223,65094404500,22690802936000,92995094,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,271000,2,-3500,-1.28,274500,276000,270000,483308,131435354000,22391206167000,82624377,STK
329180,KR7329180004,HD현대중공업,KOSPI,,241000,1,8000,3.43,233000,243500,228500,386228,91859302000,21394320956000,88773116,STK
028260,KR7028260008,삼성물산,KOSPI,,118800,1,100,0.08,119100,120600,118100,243198,28957538500,21120751911600,177784107,STK
035720,KR7035720002,카카오,KOSPI,,45900,1,2200,5.03,43700,46450,43400,4615083,210266981050,20359563777900,443563481,STK
032830,KR7032830002,삼성생명,KOSPI,,98800,2,-5100,-4.91,103900,104200,98300,410434,40983157500,19760000000000,200000000,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,101300,2,-200,-0.2,101600,102000,100700,154718,15687538800,19319947548200,190720114,STK
051910,KR7051910008,LG화학,KOSPI,,268500,1,1000,0.37,262500,273500,259000,245172,65642733500,18954044095500,70592343,STK
096770,KR7096770003,SK이노베이션,KOSPI,,120500,1,2800,2.38,117100,120500,116300,318501,38003810000,18199690508000,151034776,STK
006400,KR7006400006,삼성SDI,KOSPI,,260500,1,5500,2.16,257000,263000,253000,407922,105485378500,17913160065000,68764530,STK
000810,KR7000810002,삼성화재,KOSPI,,368000,2,-4000,-1.08,371500,371500,365000,89769,33031661500,17433940016000,47374837,STK
086790,KR7086790003,하나금융지주,KOSPI,,59700,2,-300,-0.5,59800,60100,59200,1164514,69462303400,17148280536000,287240880,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,317000,1,4500,1.44,315000,320500,308000,587113,185014820500,16902068476000,53318828,KSQ
011200,KR7011200003,HMM,KOSPI,,18800,1,170,0.91,18680,18800,18370,1133438,21102329060,16563542524800,881039496,STK
259960,KR7259960003,크래프톤,KOSPI,,340500,1,15000,4.61,327500,347500,326000,251680,85515181000,16310159407500,47900615,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,210000,3,0,0.0,210000,213000,205500,264700,55466559500,14862354360000,70773116,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,323000,1,11500,3.69,316000,324000,310000,396002,126036017500,14722715003000,45581161,STK
033780,KR7033780008,KT&G,KOSPI,,114900,2,-1100,-0.95,115100,115500,111700,282729,32166906000,14559265905300,126712497,STK
066570,KR7066570003,LG전자,KOSPI,,88300,1,500,0.57,87600,88800,87600,272310,24045077900,14450101976200,163647814,STK
015760,KR7015760002,한국전력,KOSPI,,21350,1,200,0.95,21250,21500,21050,1115002,23755341150,13705933043950,641964077,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,372000,2,-3500,-0.93,372500,383000,370500,268240,100751219000,13409534220000,36047135,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,166800,2,-6200,-3.58,172100,172100,166800,336480,56584678000,12920865096000,77463220,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,131000,2,-3900,-2.89,134200,135000,131000,488351,64636529600,12811976064000,97801344,KSQ
017670,KR7017670001,SK텔레콤,KOSPI,,57400,1,900,1.59,56800,57500,56400,456701,26069177800,12328949042200,214790053,STK
003550,KR7003550001,LG,KOSPI,,77600,1,1400,1.84,75800,77600,75800,164235,12662786700,12206557056800,157300993,STK
316140,KR7316140003,우리금융지주,KOSPI,,15890,1,120,0.76,15800,15890,15670,2366768,37377907800,11799778950890,742591501,STK
024110,KR7024110009,기업은행,KOSPI,,14700,1,70,0.48,14630,14700,14550,790049,11564025770,11722160274300,797425869,STK
323410,KR7323410001,카카오뱅크,KOSPI,,24500,1,800,3.38,23550,24750,23400,1320301,32144036200,11685731606500,476968637,STK
030200,KR7030200000,KT,KOSPI,,44850,1,600,1.36,44250,44850,43750,637307,28233778269,11303172572250,252021685,STK
402340,KR7402340004,SK스퀘어,KOSPI,,83300,1,800,0.97,82600,83800,82000,293086,24336830400,11224671668000,134749960,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,17240,2,-590,-3.31,17830,17880,17220,6652260,116446400160,11043274157040,640561146,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,140400,1,1900,1.37,138100,140400,138000,106808,14916549100,10863843120000,77377800,STK
042660,KR7042660001,한화오션,KOSPI,,34050,1,900,2.71,32700,34450,32400,2956401,99251511800,10433376065700,306413394,STK
034730,KR7034730002,SK,KOSPI,,140800,1,4000,2.92,136500,140900,136500,131909,18401389500,10208380582400,72502703,STK
010140,KR7010140002,삼성중공업,KOSPI,,11350,1,250,2.25,11100,11420,11070,4939835,55716937040,9988000000000,880000000,STK
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,72200,1,800,1.12,71300,72600,70800,750372,53853325100,9612588148000,133138340,KSQ
000100,KR7000100008,유한양행,KOSPI,,119800,1,2900,2.48,117400,121500,116300,1204266,143488716600,9609045867200,80209064,STK
028300,KR7028300002,HLB,KOSDAQ,중견기업부,72000,1,1700,2.42,70500,72900,70500,633655,45628288300,9459895176000,131387433,KSQ
009150,KR7009150004,삼성전기,KOSPI,,126100,1,5400,4.47,120400,127800,120400,865640,108886098900,9418875065600,74693696,STK
003490,KR7003490000,대한항공,KOSPI,,24550,1,350,1.45,24200,24550,24100,996656,24316705700,9039817227550,368220661,STK
086280,KR7086280005,현대글로비스,KOSPI,,118700,1,800,0.68,117100,119100,116300,154814,18232332900,8902500000000,75000000,STK
352820,KR7352820005,하이브,KOSPI,,205500,1,8400,4.26,196100,208000,195600,227419,46457452500,8559505933500,41652097,STK
326030,KR7326030004,SK바이오팜,KOSPI,,105900,1,900,0.86,105600,107700,104300,244862,25946353900,8293373175000,78313250,STK
042700,KR7042700005,한미반도체,KOSPI,,83000,2,-800,-0.95,83600,84700,81500,758247,62757291000,8018983497000,96614259,STK
005830,KR7005830005,DB손해보험,KOSPI,,108700,1,1600,1.49,107100,109500,104700,209353,22586031200,7695960000000,70800000,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,38950,2,-700,-1.77,39550,39550,38500,417609,16217347450,6852192592600,175922788,STK
010950,KR7010950004,S-Oil,KOSPI,,58000,1,600,1.05,57400,58300,56700,160285,9271330300,6529801936000,112582792,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,111600,2,-100,-0.09,112400,114000,110400,257494,28756103155,6527791904400,58492759,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,141700,1,4300,3.13,138500,143500,134900,118791,16676665500,6298565000000,44450000,STK
267250,KR7267250009,HD현대,KOSPI,,78500,1,700,0.9,77800,79000,77300,119963,9393787000,6200957172500,78993085,STK
005387,KR7005382007,현대차2우B,KOSPI,,159100,2,-100,-0.06,159600,160200,157200,88549,14076516897,5689319108100,35759391,STK
450080,KR7450080007,에코프로머티,KOSPI,,80600,1,3000,3.87,77100,80600,75800,616475,48457290300,5567090198800,69070598,STK
